央卫频道,#genre#
CCTV12-社会与法,http://180.173.123.115:8885/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://218.1.144.52:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://139.227.221.14:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://180.165.12.42:50001/tsfile/live/0001_12.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://110.53.218.182:9002udp://@238.0.0.1:8012
CCTV12-社会与法,http://222.240.220.198:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://222.243.221.54:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://218.77.81.186:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://42.48.45.143:808/hls/72/index.m3u8
CCTV12-社会与法,http://113.241.133.223:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://111.120.8.205:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://47.116.70.223:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://116.228.170.214:9003/hls/14/index.m3u8
CCTV13-新闻,http://180.173.123.115:8885/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://218.1.144.52:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://139.227.221.14:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://180.165.12.42:50001/tsfile/live/0001_13.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://110.53.218.182:9002udp://@238.0.0.1:8013
CCTV13-新闻,http://222.240.220.198:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://222.243.221.54:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://218.77.81.186:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://42.48.45.143:808/hls/74/index.m3u8
CCTV13-新闻,http://113.241.133.223:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://111.120.8.205:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://47.116.70.223:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://116.228.170.214:9003/hls/15/index.m3u8
CCTV14-少儿,http://180.173.123.115:8885/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://218.1.144.52:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://139.227.221.14:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://180.165.12.42:50001/tsfile/live/0001_14.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://110.53.218.182:9002udp://@238.0.0.1:8014
CCTV14-少儿,http://222.240.220.198:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://222.243.221.54:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://218.77.81.186:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://42.48.45.143:808/hls/15/index.m3u8
CCTV14-少儿,http://113.241.133.223:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://47.116.70.223:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://180.173.123.115:8885/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://218.1.144.52:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://139.227.221.14:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://180.165.12.42:50001/tsfile/live/0001_15.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://110.53.218.182:9002udp://@238.0.0.1:8015
CCTV15-音乐,http://222.240.220.198:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://222.243.221.54:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://218.77.81.186:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://42.48.45.143:808/hls/16/index.m3u8
CCTV15-音乐,http://113.241.133.223:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17-农业农村,http://180.173.123.115:8885/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17-农业农村,http://218.1.144.52:85/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17-农业农村,http://180.165.12.42:50001/tsfile/live/0001_16.m3u8?key=txiptv&playlive=1&authid=0
CCTV17-农业农村,http://42.48.45.143:808/hls/78/index.m3u8
CCTV88-风云音乐,http://111.120.8.205:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV88-风云足球,http://111.120.8.205:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV88-怀旧剧场,http://111.120.8.205:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV88-央视台球,http://111.120.8.205:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://111.120.8.205:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://47.116.70.223:85/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://116.228.170.214:9003/hls/43/index.m3u8
贵州卫视,http://180.173.123.115:8885/tsfile/live/0114_5.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://218.1.144.52:85/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://180.165.12.42:50001/tsfile/live/0001_38.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://110.53.218.182:9002udp://@238.0.0.1:8028
贵州卫视,http://42.48.45.143:808/hls/51/index.m3u8
北京卫视,http://111.120.8.205:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://47.116.70.223:85/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://116.228.170.214:9003/hls/23/index.m3u8
北京卫视,http://180.173.123.115:8885/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://218.1.144.52:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://139.227.221.14:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
